date,text,likes,retweets,link
2019-01-13,@Estadao @ECantanhede Lamento a postura contínua deste jornal diante das boas ações ocorridas nos últimos 13 dias e as melhores que estão por vir! A liberdade de imprensa é necessária e algo que governos anteriores tentavam burlar. Bom trabalho aos senhores e que a verdade sempre prevaleça!,59388,7300,https://twitter.com/jairbolsonaro/status/1084451824344666112
2019-01-13,"RT @CarlosBolsonaro: Aguardamos ansiosamente qual  será a reação do PT, PCdoB, PSOL e alinhados diante da prisão do italiano terrorista ass…",0,3861,https://twitter.com/jairbolsonaro/status/1084449994797658113
2019-01-13,"RT @BolsonaroSP: Assassinou policial, matou pai na frente do filho, atirou e deixou homem paralítico, foi condenado a prisão perpétua por 4…",0,4527,https://twitter.com/jairbolsonaro/status/1084427708426264576
2019-01-13,"Congratulazioni e conta sempre su di noi, Ministro Salvini! https://t.co/9JRIql2tFZ",32751,4901,https://twitter.com/jairbolsonaro/status/1084417916379033602
2019-01-13,Parabéns aos responsáveis pela captura do terrorista Cesare Battisti! Finalmente a justiça será feita ao assassino italiano e companheiro de ideais de um dos governos mais corruptos que já existiram no mundo (PT).,86291,12322,https://twitter.com/jairbolsonaro/status/1084407447610109954
2019-01-12,"Marginais, por explosão, derrubaram torre de transmissão sobre a BR 020 no Ceará. Em 24hs nosso Ministro das Minas e Energia providenciou o restabelecimento da rede e desobstrução da rodovia. Com garantia jurídica e tipificação desses atos em terrorismo venceremos essa guerra. https://t.co/dCNEccnQ82",36567,5824,https://twitter.com/jairbolsonaro/status/1084212268966076416
2019-01-12,Será uma excelente oportunidade. Este é o caminho que buscamos! Comércio bilateral com o mundo todo sem o viés ideológico! https://t.co/5ZfJ7LKdWL,36185,5814,https://twitter.com/jairbolsonaro/status/1084183149733662726
2019-01-12,"Comandante da LATAM que pilota para Brasília desde 2005 tirou esta foto hoje e disse que NUNCA tinha visto isso! Tantos da frota do Grupo de Transporte Executivo da FAB (GTE), que transporta os ministros e outras autoridades do governo, no chão em pleno sábado . “Pátria Amada 🇧🇷“ https://t.co/J5J08DCLix",61143,10132,https://twitter.com/jairbolsonaro/status/1084177679744749568
2019-01-12,"RT @ernestofaraujo: Finalmente há esperança de democracia na Venezuela. O Brasil, sob o comando do Pesidente Bolsonaro, está trabalhando in…",0,3211,https://twitter.com/jairbolsonaro/status/1084176250128777217
2019-01-12,"RT @TonhoDrinks: O jornalismo brasileiro está tentando arrumar picuinhas com as decisões do @jairbolsonaro sobre a educação no Brasil.
Ess…",0,2240,https://twitter.com/jairbolsonaro/status/1084174600454447106
2019-01-12,"Ano passado (em pré-campanha) constatei que algumas torres de transmissão de energia, no estado do Pará, continham em média 200 pneus. O MST ameaçava tocar fogo caso fizessem reintegração de posse naquelas áreas. PCC, CV, .... CASO SE UNAM AO MST, MTST, ..... ?????? https://t.co/J5Uavr6KXW",28394,4743,https://twitter.com/jairbolsonaro/status/1084083553971904512
2019-01-12,Seja bemvindo amigo General Villas Boas! É uma satisfação! https://t.co/xVW1qTukRC,33436,3538,https://twitter.com/jairbolsonaro/status/1084062174132228096
2019-01-12,"- Ao criminoso  não interessa o partido desse ou daquele governador. Hoje ele age no Ceará, amanhã em SP, RS ou GO.
- Suas ações, como incendiar, explodir, ... bens públicos ou privados, devem ser tipificados como TERRORISMO.
- O PLS 272/2016 do Sen Lasier Martins é louvável.",67856,10007,https://twitter.com/jairbolsonaro/status/1083997855600267264
2019-01-12,"RT @BolsonaroSP: Não é rancor, é ser racional. https://t.co/GWWcaihxrH",0,1721,https://twitter.com/jairbolsonaro/status/1083935279671664640
2019-01-11,🇧🇷👍🏻 https://t.co/iVEl9yRvGw,81344,13886,https://twitter.com/jairbolsonaro/status/1083863861562957824
2019-01-11,"RT @flaviomorgen: Meu artigo (nur auf Deutsch, Entschuldigung) na capa da revista @Weltwoche, a maior revista da Suíça alemã, sobre a esper…",0,2153,https://twitter.com/jairbolsonaro/status/1083842832660656134
2019-01-11,"O capitão Nagem, funcionário da Petrobrás, ocupará a vaga da petista Regina Miki (foto) na Chefia de Segurança.
Para a Gerência de Inteligência foi indicado o Ten R/2 Marcelo Dias (também concursado) que foi retirado por Miki dessa mesma função em 2018.
Parabéns Petrobrás! https://t.co/tRAryhPprU",29791,4536,https://twitter.com/jairbolsonaro/status/1083836863075340289
2019-01-11,🇧🇷☝🏻👉🏻👉🏻 https://t.co/k7ymch8Qyu,27076,2696,https://twitter.com/jairbolsonaro/status/1083830086019756033
2019-01-11,"RT @planalto: O presidente da República, @jairbolsonaro, acaba de participar da cerimônia de troca de comando do @exercitooficial. Na ocasi…",0,1981,https://twitter.com/jairbolsonaro/status/1083731415286595584
2019-01-11,"RT @CarlosBolsonaro: Antes que a imprensa publique, aqui vai: Amigo particular de Jair Bolsonaro desde 1974, General Leal Pujol assume o Ex…",0,4735,https://twitter.com/jairbolsonaro/status/1083731137975980032
2019-01-11,Peço desculpas à grande parte da imprensa por não estar indicando inimigos para postos em meu governo!,101304,14132,https://twitter.com/jairbolsonaro/status/1083709715241205761
2019-01-11,https://t.co/5w8nuU3SQw,8562,1147,https://twitter.com/jairbolsonaro/status/1083690748007075840
2019-01-11,"Victor Nagen, Capitão da Marinha, mestre em Adm. pela Coppead/UFRJ e funcionário da Petrobras há 11 anos, assumirá a Gerência Executiva de Inteligência e Segurança Corporativa da empresa. Apesar de brilhante currículo, setores da imprensa dizem que é apenas ""amigo de Bolsonaro"".",35174,5477,https://twitter.com/jairbolsonaro/status/1083688774603866112
